"","X1","X2","X3","X4"
"Allenopithecus_nigroviridis",-1.04115450224041,7.54479133095393,-3.06870487555113,0.711018959911907
"Cercopithecus_mitis",-1.52120223109717,7.96058159052476,-5.40197763453382,0.311869446747136
"Cercopithecus_petaurista",-1.39541780024339,1.53365370195098,-6.43860370021027,2.87180623931539
"Chlorocebus_sabaeus",1.0946652336365,3.74260014909196,-7.49936292295513,1.27660483850938
"Erythrocebus_patas",-10.1808854531718,6.6840439790952,-4.08525393380613,3.11649226828961
"Miopithecus_ogouensis",-8.27618706573372,0.301417822050301,-4.87727716360205,0.266695165673495
"Avahi_laniger",-12.4610016644213,31.6076906527097,-4.23133848702471,-1.73548759069957
"Cheirogaleus_major",4.958606413253,8.56003968924513,-5.46244593184576,-16.9676077081346
"Daubentonia_madagascarensis",-13.9332580271159,-5.18916335641919,-11.0031918414573,-26.5293912770159
"Eulemur_fulvus",-0.524886723457244,12.4136607372679,2.70478686868204,-2.19122489407945
"Hapalemur_griseus",-3.88282799444943,9.26852575285137,8.49988955297433,2.04373943017415
"Indri_indri",-12.1102124441829,16.958928573737,-1.54870932804437,-7.28158509462754
"Lemur_catta",-3.78526020031759,15.5145766697356,7.92224834144628,3.71211240925782
"Lepilemur_mustelinus",-12.6306259656359,10.6327364392459,3.37561645136427,-15.0416044448646
"Microcebus_murinus",-7.63287664012435,12.7323882117976,2.38200699334364,-3.73268728006154
"Mirza_zaza",-8.7704100469403,4.88386098734337,4.48427382472955,-10.5990010797531
"Propithecus_diadema",-16.2443144428966,24.9760229774506,-3.95264280715083,-10.3036927101281
"Varecia_variegata",-5.90007928821728,9.97248216201809,4.59088462004719,-12.3786804439954
"Alouatta_caraya",11.7177497381977,-8.44620111488097,-11.3712643156051,-4.14527151271832
"Ateles_geoffroyi",17.32360446221,-4.11267256967555,-8.80143164450354,-5.66817519544994
"Lagothrix_lagotricha",21.2598912795831,-9.02246282217725,-11.6207862546358,-6.60767922510596
"Aotus_trivirgatus",17.3787765239349,-1.62803614620449,-2.38093281729751,-6.86115488990096
"Callimico_goeldii",9.90477315205752,-10.3031997411129,-12.5503417539603,-3.38790531797319
"Callithrix_humeralifera",16.6047815352613,-6.17504829127082,-11.5020763394115,-4.08689507112339
"Cebuella_pygmaea",11.519684890627,-10.3917660178916,-7.59732721856455,-4.4885857293792
"Cebus_apella",1.90407160113211,-14.3331398019267,-13.5578214561028,-9.92859704004478
"Leontopithecus_rosalia",8.72370763848231,-8.20233488186346,-9.95072735960043,-8.29301251270102
"Saguinus_fuscicollis",9.37620817288714,-3.19182311613189,-11.1795825502899,0.288291848673334
"Saimiri_sciureus",14.5404095724509,-2.46367966744624,-8.72056692083831,1.38684865118396
"Arctocebus_aureus",-13.2800091706091,-14.5142859324265,-2.95203946155501,-10.0344999518801
"Loris_lydekkerianus",-6.18875410817128,-1.5468664484929,7.85461777605456,-14.4113210444006
"Nycticebus_coucang",-11.1764088410632,-8.83703460669355,11.4360989856028,-21.1373169995649
"Perodicticus_potto",-13.2870010891407,-17.5891114211579,-0.967870558307448,-9.37460066819429
"Hoolock_hoolock",-9.95317603515061,-2.32070834800189,1.60430664397344,3.39694778273957
"Gorilla_gorilla",-1.01681508363063,-7.40998748683151,0.56339171910406,7.33940982624951
"Homo_sapiens",-4.58051826820933,-6.0271185358186,-2.32276817344989,8.79307089327834
"Hylobates_lar",-3.60717504563294,6.03516924354733,-3.97138435111912,3.97542882198282
