Neochetina_b object converted using the writeGenPop function 
NB40, NB46, NB27, NB5, NB43, NB8, NB26, NB13 
pop
NBAU1, 203206 241241 207207 239242 199199 278278 214214 233233
NBAU2, 203206 238238 207201 239242 199199 275275 214214 233233
NBAU3, 206206 241244 207201 239239 199199 278275 214217 233233
NBAU4, 206206 238238 207201 239239 199199 278278 214217 233233
NBAU5, 203200 238238 207201 239239 199199 278278 217208 233227
NBAU6, 206200 238238 207201 239251 199199 278281 214217 233227
NBAU7, 200200 238238 201201 239239 199199 278278 217217 233233
NBAU8, 200200 238238 207201 239239 199199 278278 208208 233233
NBAU9, 203200 238238 207207 239242 199199 278278 214214 233233
NBAU10, 203200 238238 201201 239239 199199 278278 217217 233236
NBAU11, 203200 238238 201201 239239 199208 278284 217211 233233
NBAU12, 203206 241241 207201 239251 199199 278284 217217 233233
NBAU13, 203200 238238 207207 239239 199199 278281 214217 233236
NBAU14, 203203 238238 207201 239239 199199 281284 214211 233233
NBAU15, 203200 238238 201201 239239 199199 278278 217208 233233
NBAU16, 206200 238238 207201 239239 199199 278275 214217 233236
NBAU18, 203203 238238 201201 239239 199199 278278 217208 233236
NBAU19, 206200 238238 207207 239239 199199 275290 217217 233236
NBAU20, 203206 238238 207207 239239 199199 278278 214208 233233
NBAU21, 203203 238238 207201 239239 199199 278278 217217 233236
NBAU22, 203203 238238 201201 239239 199199 278278 217208 233236
pop
NBMay4, 203206 238238 207207 239248 199199 278272 214214 233233
NBMay5, 203203 238232 207201 239239 199208 275272 214217 233233
NBMO2, 200200 238238 201201 239242 205205 278293 217217 233233
NBMO5, 203203 241232 207201 239239 199199 272272 214211 233239
NBMO6, 203203 238238 207201 239239 199199 278269 214217 233227
NBMO7, 203200 238238 201201 239239 199199 275275 217217 233236
NBMO8, 203203 241232 201201 239242 199199 278272 217217 233233
NBMO9, 203203 241232 207207 239239 199199 272293 214214 233233
NBMO10, 203200 238238 207207 239242 199199 275272 214217 233233
NBMOH1, 206200 238238 207201 239239 199208 278287 214217 233239
NBMOH2, 206200 238238 207201 239242 199199 284287 214217 233239
NBMOH3, 203200 238238 207207 239239 199199 284287 214214 233233
NBMOH4, 203209 241241 201201 239239 199199 278272 217217 233239
NBMOH5, 203203 238238 207207 239239 199199 272272 214214 233233
NBRD2, 203200 238238 201201 239239 199199 278287 217208 233233
NBRD3, 203203 238238 201201 239239 199199 278272 214217 233233
NBRD4, 203203 238238 207201 239239 199199 284272 208208 233227
NBRD5, 203200 238238 201201 239239 199199 278278 214217 233227
NBRD6, 206206 238238 201201 239239 199199 287287 214217 233233
NBRD7, 203203 238238 207207 239239 199199 275275 214214 233233
NBRDH1, 206206 238238 207207 239242 199199 278287 214217 233236
NBRDH2, 203206 238238 207201 239239 199199 284269 217211 233227
NBRDH3, 203203 238238 207201 239248 199199 278272 217217 233233
NBRDH5, 206206 238238 201201 239239 199199 287287 217208 233236
NBRDH6, 203206 241238 201201 239248 199199 278287 217208 233233
pop
NBFL1, 200197 238238 207201 239239 199205 278281 208208 233227
NBFL2, 203203 238238 207207 239239 199199 284284 214208 233233
NBFL3, 203203 238238 207207 239239 199199 281281 214214 233233
NBFL4, 200200 238232 207207 239251 199199 278278 214208 233236
NBFL5, 200200 238238 207207 239254 199208 278278 214208 233224
NBFL6, 203200 238238 207207 239242 199199 278275 214214 233233
NBFL7, 203200 238238 207201 239254 199199 278278 214217 233236
NBFL8, 203203 238238 207201 239239 199208 275275 214217 227224
NBFL9, 203203 238238 207207 239239 199199 278281 208208 233233
NBFL10, 203203 238238 207201 239239 199199 278278 214217 233236
NBFL11, 203203 238238 207207 239239 199199 278278 208208 233227
NBFL12, 203206 238238 201201 239239 199199 278278 217217 233233
NBFL13, 203200 241238 201201 239239 199199 278278 217208 224224
NBFL14, 203203 238238 207201 239239 199199 278284 217208 233236
NBFL15, 200200 238238 207201 239239 199199 275290 214208 233233
NBFL16, 203200 238238 201201 239239 199199 278284 208208 233233
NBFL17, 203200 238238 201201 239239 199199 275275 217217 233233
NBFL18, 203200 244244 207201 239254 199199 275275 217208 233224
NBFL19, 203206 238238 207207 239239 199199 278269 214208 233233
NBFL20, 203200 238238 207201 239239 199199 278275 217208 233233
NBFL21, 200200 238238 207201 239239 199199 275272 217208 233236
pop
NBTX1, 203203 238238 207201 239239 199199 281272 214223 236224
NBTX2, 203203 238238 207201 239242 199208 278269 214217 233233
NBTX3, 203203 241244 207207 239239 199199 281272 214214 233236
NBTX4, 203203 241244 207207 239251 199199 281272 214214 233233
NBTX5, 203203 238238 207201 239239 199199 281272 214217 233239
NBTX6, 203203 241241 207207 239239 199199 278275 214214 233239
NBTX7, 203203 241244 207207 239239 199199 278272 214214 233239
NBTX8, 203203 238238 207207 239242 199199 281281 214214 233239
NBTX9, 203203 238238 207207 239242 199199 281269 214214 233239
NBTX10, 203203 238238 207201 239239 199199 272272 214223 233239
NBTX11, 203203 241232 207207 239239 199199 278281 214214 233236
NBTX12, 203203 238238 207201 239251 199199 281269 214217 233224
NBTX13, 203203 241244 207207 239239 199205 281281 214214 233236
NBTX14, 203203 241232 207201 239251 199199 272272 214217 233239
NBTX15, 203203 238238 207201 239239 199199 272269 214217 233236
NBTX16, 203203 238238 201201 239239 199199 281272 217223 233236
NBTX17, 203203 238238 201201 239239 199199 281281 217223 233233
NBTX18, 203203 241232 207201 239239 199208 272272 214217 233233
NBTX19, 203203 238238 207201 239239 199199 272272 214217 224224
NBTX20, 203203 241232 207201 239239 199199 278269 214217 233239
NHTX21, 203203 238238 201201 239239 199208 281272 217223 233233
NBTX22, 203203 238238 201201 239239 199199 281281 217217 233239
NBTX23, 203203 238238 201201 239251 199199 281281 217223 233239
NBTX24, 203203 238238 201201 239239 199199 281281 217217 233236
NBTX25, 203203 241244 201201 239239 199199 281272 223223 233224
pop
NBSAB3, 200200 238238 201201 239242 199199 278284 208208 227224
NBSAB6, 209209 238238 201201 239230 199208 275284 214217 233236
NBSAB8, 200200 241238 201201 239242 199208 278278 217217 233224
NBSAB9, 200200 238238 207207 239242 199199 278284 214214 233233
NBSAB13, 206200 238232 207201 239242 199199 278290 214217 233233
NBSAB15, 203200 238238 207201 239239 199208 275290 214217 233233
pop
NBSAC1, 206206 241241 201201 242242 199199 275272 217217 233233
NBSAC2, 203206 238238 207207 239239 199199 278278 214214 233233
NBSAC3, 206206 241241 207201 239230 199199 275275 214214 233236
NBSAC4, 203200 241232 207201 242242 199199 278275 214208 233233
NBSAC5, 206209 241232 201201 254230 199199 278284 214214 233236
NBSAC6, 203197 238238 201201 239230 199199 284272 214217 233233
NBSAC7, 206209 238238 207201 239239 199208 278275 214214 233233
NBSAC8, 200200 238238 207201 239230 199199 275275 214214 233233
NBSAC9, 203203 241241 201201 230230 199199 281284 214214 233236
NBSAC10, 197197 232232 207201 239230 199199 266266 214214 233236
NBSAC11, 203206 238226 201201 239230 199199 275281 214217 233236
NBSAC12, 203200 238238 207207 239239 199199 278275 214214 233233
NBSAC13, 203200 232232 201201 239242 199208 278272 217217 233233
NBSAC15, 203200 238238 201201 254230 199199 275275 214214 233236
NBSAC16, 203206 238235 207207 239239 199199 278281 214214 233233
NBSAC17, 206206 238238 207207 239254 199208 281284 214214 233236
NBSAC19, 206206 241244 201201 239230 199199 281272 214217 233233
NBSAC20, 203203 238238 207207 242251 199208 278290 214217 233236
pop
NBUG1, 200200 238238 207201 239239 199199 278278 214217 233233
NBUG2, 200200 238238 207201 239251 199199 278278 214217 233233
NBUG3, 203200 238238 207207 239242 199199 278284 214208 233233
NBUG4, 206200 238238 207201 239251 199199 278272 214217 233233
NBUG5, 203200 238238 207201 239251 199199 278272 214217 233233
NBUG6, 203200 238238 207207 239242 199199 278272 214217 233233
NBUG7, 203203 238238 207207 239239 199199 278278 214208 233236
NBUG8, 200200 238238 207201 239242 199199 275272 214217 233236
NBUG9, 200200 241241 207207 242251 199199 278275 217208 236236
NBUG10, 203203 238238 207201 239239 199199 278278 208211 233233
NBUG11, 203203 238238 207201 239239 199199 278278 217208 233233
NBUG12, 200200 241238 207201 239239 199199 278281 217217 233236
NBUG13, 203203 238238 201201 239242 199199 278275 217220 233227
NBUG14, 203206 238238 207201 239239 199199 272272 217217 233236
NBUG16, 203206 238238 207207 239251 199199 278278 214208 233233
NBUG17, 203197 238238 207201 239239 199199 278278 214217 233233
NBUG18, 200200 241241 207201 239239 199199 278278 217217 233233
NBUG19, 203203 241241 207201 239239 199199 278278 217217 236236
NBUG20, 203200 238238 207201 239239 199199 278272 214217 233236
NBUG22, 203203 238238 207201 239239 199199 278278 217208 233233
NBUG23, 200200 238217 207201 239239 199199 278278 217211 233233
NBUG24, 200200 241238 207201 239248 199199 278275 217208 236236
NBUG31, 203203 232232 201201 239242 199199 278272 217217 233227
NBUG32, 203203 241238 207201 239239 199199 278275 217211 233227
NBUG33, 203203 241238 207201 239239 199199 278275 217217 233233
NBUG34, 203200 238238 201201 239239 199199 278275 217217 233233
pop
NBUR1, 212212 238232 201201 239242 199199 278275 217217 233227
NBUR2, 203203 241238 201201 239239 199199 278290 217217 233224
NBUR3, 203203 238238 201201 239239 199199 284272 217217 233227
NBUR4, 197197 238238 201201 239239 199199 278278 217217 236224
NBUR5, 203203 238238 201201 239239 199199 275275 217217 233230
NBUR6, 203203 241241 201201 239239 199199 281263 217217 233224
NBUR7, 203203 238238 201201 239248 199199 275272 217217 233233
NBUR8, 203203 238238 201201 239239 199199 278275 217211 233233
NBUR9, 197167 238238 201201 239239 199211 281272 217217 233236
NBUR10, 203206 238238 207201 239239 199199 278281 214223 233233
NBUR11, 203203 238238 201201 239254 199199 281284 217217 233236
NBUR12, 203203 238238 201201 239239 199199 278281 217211 233236
NBUR13, 203203 241238 201201 239239 199199 284287 217217 233233
